location,Bed,Bath,Ft,price
Alaska,4.0,3.0,4111.0,2195000.0
Alaska,3.0,2.0,2796.0,539000.0
Alaska,2.0,2.0,1321.0,419000.0
Alaska,3.0,2.5,2300.0,470000.0
Alaska,4.0,2.0,,599000.0
Alaska,3.0,2.0,1870.0,455000.0
Alaska,6.0,3.5,2932.0,609000.0
Alaska,4.0,3.0,2841.0,715000.0
Alaska,3.0,2.0,1852.0,475000.0
Alaska,3.0,2.0,1886.0,425000.0
Alaska,2.0,2.5,2200.0,895000.0
Alaska,4.0,2.0,1922.0,449000.0
Alaska,1.0,2.0,780.0,450000.0
Alaska,3.0,2.5,1780.0,472900.0
Alaska,4.0,3.5,2646.0,695000.0
Alaska,3.0,2.0,1764.0,485000.0
Alaska,3.0,2.0,1662.0,485000.0
Alaska,3.0,3.5,4075.0,795000.0
Alaska,3.0,2.0,2000.0,459000.0
Alaska,5.0,5.0,2912.0,439000.0
Alaska,3.0,2.0,2177.0,477000.0
